group,session,date,feeding,age_juv_wks,bout_nr,bout,start_time,end_time,duration,focal,behavior,receiver,play_type,playface,
Washington,7,08.12.2021,after,17,1,invitation,00:07:33:21,00:07:34:11,00:00:00:16,mother  , supine   ,father ,dyad,0,
Washington,7,08.12.2021,after,17,2,invitation,00:08:07:12,00:08:08:01,00:00:00:15,juv_male  , hide   ,father ,dyad,NA,
Washington,7,08.12.2021,after,17,1,start/end_bout,00:08:16:03,00:08:16:03,00:00:00:01,juv_male  ,touch    ,mother ,dyad,NA,
Washington,7,08.12.2021,after,17,3,invitation,00:08:52:02,00:08:52:24,00:00:00:23,juv_male  , hide   ,father/mother,poly,NA,
Washington,7,08.12.2021,after,17,4,invitation,00:08:58:24,00:09:07:15,00:00:08:17,juv_male  , hide   ,father/mother,poly,NA,
Washington,7,08.12.2021,after,17,5,invitation,00:09:18:07,00:09:25:03,00:00:06:22,juv_male  , hide   ,mother ,dyad,NA,
Washington,7,08.12.2021,after,17,2,start_bout,00:09:29:05,00:09:30:00,00:00:00:21,juv_male  ,chase    ,juv_fem ,dyad,NA,
Washington,7,08.12.2021,after,17,2,middle,00:09:30:00,00:09:30:11,00:00:00:12,juv_male  ,wrestle    ,juv_fem ,dyad,NA,
Washington,7,08.12.2021,after,17,2,end_bout,00:09:30:11,00:09:30:11,00:00:00:01,juv_fem  ,wrestle_out    ,NA,dyad,NA,
Washington,7,08.12.2021,after,17,6,invitation,00:09:33:16,00:09:41:19,00:00:08:04,juv_male  ,si_stalk    ,juv_fem ,dyad,NA,
Washington,7,08.12.2021,after,17,3,start/end_bout,00:19:02:05,00:19:02:05,00:00:00:01,juv_male  ,jump_other    ,juv_fem ,dyad,NA,
Washington,7,08.12.2021,after,17,4,start_bout,00:19:13:20,00:19:13:20,00:00:00:01,juv_male  ,jump_other    ,juv_fem ,dyad,NA,
Washington,7,08.12.2021,after,17,4,middle,00:19:13:20,00:19:15:03,00:00:01:09,juv_male  ,wrestle    ,juv_fem ,dyad,NA,
Washington,7,08.12.2021,after,17,4,end_bout,00:19:15:03,00:19:15:03,00:00:00:01,juv_male  ,wrestle_out    ,NA,dyad,NA,
Washington,7,08.12.2021,after,17,7,invitation,00:19:16:00,00:19:16:15,00:00:00:16,juv_male  ,si_stalk    ,juv_fem ,dyad,NA,
